MAE,MSE,RMSE,R2,RMSLE,MAPE
0.1355,0.2136,0.4622,0.9647,0.0927,0.181
0.1423,0.2392,0.4891,0.9608,0.0968,0.1846
0.143,0.2322,0.4818,0.9605,0.0977,0.1883
0.1401,0.222,0.4711,0.9631,0.0946,0.1841
0.1294,0.1905,0.4364,0.968,0.0884,0.1774
0.1349,0.2114,0.4597,0.9649,0.091,0.1744
0.136,0.211,0.4593,0.9646,0.0921,0.1792
0.1383,0.2197,0.4687,0.9639,0.0939,0.1804
0.1405,0.2334,0.4831,0.9614,0.0962,0.1811
0.1343,0.1946,0.4412,0.9678,0.0908,0.1814
0.1374,0.2167,0.4653,0.964,0.0934,0.1812
0.004,0.0152,0.0164,0.0025,0.0028,0.0037
