MAE,MSE,RMSE,R2,RMSLE,MAPE
0.0318,0.0043,0.0658,0.9993,0.0258,0.1145
0.0321,0.0041,0.0644,0.9993,0.0261,0.1163
0.0323,0.0044,0.066,0.9993,0.026,0.1161
0.0323,0.0069,0.0829,0.9988,0.0269,0.1165
0.0322,0.0044,0.0665,0.9993,0.026,0.116
0.032,0.0051,0.0717,0.9991,0.0267,0.1154
0.0321,0.0047,0.0684,0.9992,0.0265,0.1155
0.032,0.0038,0.0616,0.9994,0.0255,0.1146
0.0318,0.0032,0.0567,0.9995,0.0253,0.1151
0.0319,0.0044,0.0661,0.9993,0.0253,0.1157
0.0321,0.0045,0.067,0.9992,0.026,0.1156
0.0002,0.0009,0.0065,0.0002,0.0005,0.0007
