MAE,MSE,RMSE,R2,RMSLE,MAPE
0.5588,1.2208,1.1049,0.7966,0.2858,1.1918
0.5604,1.2271,1.1077,0.8002,0.285,1.2431
0.5625,1.2536,1.1196,0.7914,0.2888,1.2037
0.5566,1.2115,1.1007,0.7962,0.2866,1.1942
0.5562,1.2037,1.0971,0.8008,0.2839,1.2111
0.5534,1.1953,1.0933,0.7975,0.2842,1.2307
0.5557,1.2095,1.0998,0.7983,0.2865,1.2096
0.5509,1.1879,1.0899,0.7984,0.2835,1.2482
0.558,1.2253,1.1069,0.7959,0.2838,1.2304
0.564,1.2479,1.1171,0.7976,0.2862,1.2056
0.5576,1.2182,1.1037,0.7973,0.2854,1.2168
0.0038,0.0201,0.0091,0.0025,0.0016,0.0189
