MAE,MSE,RMSE,R2,RMSLE,MAPE
0.0289,0.0049,0.0702,0.9992,0.0242,0.1094
0.0289,0.0037,0.061,0.9994,0.0237,0.1103
0.0292,0.0051,0.0715,0.9992,0.0253,0.1115
0.0288,0.0029,0.0542,0.9995,0.024,0.1097
0.0291,0.0036,0.0597,0.9994,0.0244,0.1116
0.0292,0.005,0.0705,0.9992,0.0251,0.1114
0.0291,0.004,0.0635,0.9993,0.0243,0.1112
0.0289,0.0041,0.0644,0.9993,0.0233,0.1106
0.0288,0.0033,0.0573,0.9995,0.0235,0.1105
0.029,0.0031,0.0561,0.9995,0.0239,0.1112
0.029,0.004,0.0628,0.9993,0.0242,0.1107
0.0001,0.0008,0.006,0.0001,0.0006,0.0007
