iter	RMSE
0	0.9278936426
1	0.8626101766
2	0.8035758993
3	0.7500742447
4	0.7021121648
5	0.6570885399
6	0.6173043276
7	0.581491214
8	0.5490791931
9	0.5201182275
10	0.4939056746
11	0.470420228
12	0.4498422317
13	0.4297462105
14	0.4127955711
15	0.3978720053
16	0.3846200411
17	0.3707531007
18	0.358506226
19	0.3489495544
20	0.3400828247
21	0.3325340114
22	0.3254678009
23	0.3182426474
24	0.3130393764
25	0.3067240765
26	0.3000884318
27	0.2960592113
28	0.292317865
29	0.2880646984
30	0.2848851086
31	0.2807502385
32	0.2777923584
33	0.2742596356
34	0.2717052371
35	0.2695150327
36	0.26754031
37	0.2658503764
38	0.263075312
39	0.261588599
40	0.2600280541
41	0.2587452585
42	0.2565034013
43	0.2554682787
44	0.2545798796
45	0.2526804807
46	0.2515617735
47	0.250634078
48	0.2499184075
49	0.2484739562
50	0.2477533619
51	0.2471702192
52	0.2459138215
53	0.2448793927
54	0.2443048264
55	0.2433515193
56	0.24286663
57	0.2424362017
58	0.2419304917
59	0.2415579314
60	0.2409092796
61	0.2404110475
62	0.2399634249
63	0.2396876935
64	0.2389612403
65	0.2383686022
66	0.2380402938
67	0.2376557527
68	0.2372292533
69	0.2368040321
70	0.2365635184
71	0.236208941
72	0.2359150654
73	0.2356546512
74	0.235411778
75	0.2352191418
76	0.2349040989
77	0.2346255388
78	0.2343356435
79	0.2340910505
80	0.2338651912
81	0.2336501253
82	0.2334246824
83	0.2332459315
84	0.2329772896
85	0.2328066479
86	0.2325953259
87	0.2324415636
88	0.2322898995
89	0.2320316064
90	0.2318138766
91	0.2316755443
92	0.2313970069
93	0.2312504112
94	0.231068415
95	0.2308961464
96	0.2307492071
97	0.2305584459
98	0.230451071
99	0.2302905844
100	0.2301078035
101	0.2299824676
102	0.2298120176
103	0.2296866993
104	0.2295674922
105	0.2294298921
106	0.2293504324
107	0.2292429785
108	0.229092261
109	0.2289241247
110	0.2288133387
111	0.2286905812
112	0.2286087961
113	0.2285494846
114	0.2283912496
115	0.2282757276
116	0.228193382
117	0.2281210364
118	0.2280356984
119	0.2279302534
120	0.2278277118
121	0.2277607049
122	0.2276862353
123	0.2276373797
124	0.2274856242
125	0.2273464152
126	0.2272702333
127	0.2271904967
128	0.227102688
129	0.2270418318
130	0.2269903143
131	0.2268850178
132	0.2268377246
133	0.2267794393
134	0.226721113
135	0.2265878248
136	0.2265157444
137	0.226454925
138	0.2263942967
139	0.2263098649
140	0.2262527807
141	0.2261672182
142	0.2261119035
143	0.2260093166
144	0.2259431353
145	0.2258531122
146	0.2257988911
147	0.2257635865
148	0.2256681037
149	0.2255887641
150	0.2255164035
151	0.2254324377
152	0.225393401
153	0.2253611346
154	0.2253071472
155	0.225265429
156	0.2251606955
157	0.2251167323
158	0.2250773929
159	0.2250136656
160	0.2249897126
161	0.224892778
162	0.224837816
163	0.2247997604
164	0.2247491143
165	0.2246734374
166	0.2246372498
167	0.2246044302
168	0.224533963
169	0.2244919311
170	0.2244439243
171	0.2243753178
172	0.2243433501
173	0.2243151226
174	0.2242663707
175	0.2242086352
176	0.2241701322
177	0.2241398256
178	0.2241018351
179	0.224069422
180	0.2240414222
181	0.2239690468
182	0.2239400902
183	0.2239139892
184	0.2238558611
185	0.2237492601
186	0.2236953957
187	0.2236267172
188	0.2235752798
189	0.2235153422
190	0.223453785
191	0.2234196215
192	0.223371095
193	0.2233224526
194	0.2232993047
195	0.2232690509
196	0.2232333857
197	0.2232047283
198	0.2231505613
199	0.2231297517
200	0.223095407
201	0.2230697471
202	0.2230336154
203	0.2230069737
204	0.2229194935
205	0.222874996
206	0.2228239255
207	0.2227946222
208	0.2227506931
209	0.222707863
210	0.2226431408
211	0.2226201465
212	0.2225730028
213	0.2225445507
214	0.2225225757
215	0.2225045322
216	0.2224579845
217	0.2224303364
218	0.2224038205
219	0.2223675674
220	0.2223480847
221	0.2223177675
222	0.2222936033
223	0.2222481743
224	0.2222107592
225	0.2221881034
226	0.222168724
227	0.2221294708
228	0.2220962409
229	0.2220644874
230	0.2220044859
231	0.2219914014
232	0.2219597718
233	0.221935562
234	0.2219129708
235	0.2218896229
236	0.2218711109
237	0.221852882
238	0.2218160489
239	0.2217769783
240	0.2217622513
241	0.2217365365
242	0.2217063344
243	0.221687297
244	0.2216623485
245	0.2216437248
246	0.2216197323
247	0.2215889576
248	0.2215661322
249	0.2215360727
250	0.2215085879
251	0.221494652
252	0.2214761932
253	0.2214267831
254	0.2214064814
255	0.2213784698
256	0.2213627013
257	0.2213326274
258	0.2213203193
259	0.2212683856
260	0.2212376019
261	0.2212143353
262	0.2212003743
263	0.2211729142
264	0.2211459886
265	0.2211284836
266	0.221108015
267	0.2210900818
268	0.2210759601
269	0.2210303008
270	0.221002999
271	0.2209820669
272	0.2209570056
273	0.220945215
274	0.2209171449
275	0.2209051394
276	0.2208816584
277	0.2208562332
278	0.2208417574
279	0.2208058464
280	0.2207898974
281	0.2207667966
282	0.2207441789
283	0.2207210134
284	0.2206969938
285	0.2206752873
286	0.2206589961
287	0.2206431895
288	0.22061791
289	0.2206003098
290	0.22058858
291	0.2205630812
292	0.2205470746
293	0.2205333044
294	0.2205083918
295	0.2204685233
296	0.2204470475
297	0.2204250966
298	0.2204014844
299	0.2203793024
300	0.2203541459
301	0.2203271069
302	0.2203057373
303	0.2202919386
304	0.2202724257
305	0.2202581915
306	0.2202468569
307	0.2202230256
308	0.2202029463
309	0.2201751951
310	0.2201643231
311	0.2201360067
312	0.2201130707
313	0.2200707817
314	0.2200520566
315	0.220037361
316	0.2200209358
317	0.2199980479
318	0.2199888761
319	0.2199505358
320	0.2199313264
321	0.2199174508
322	0.2198974972
323	0.2198681246
324	0.2198575513
325	0.2198470176
326	0.2198296296
327	0.2197961456
328	0.2197825354
329	0.2197695725
330	0.219749659
331	0.2197330318
332	0.2197106821
333	0.2196779086
334	0.2196623857
335	0.219640811
336	0.219623721
337	0.2196025103
338	0.2195921717
339	0.2195707439
340	0.2195579023
341	0.2195313606
342	0.2195046083
343	0.2194921911
344	0.2194773376
345	0.219463547
346	0.2194363247
347	0.2194201356
348	0.2194082021
349	0.2193831418
350	0.2193587948
351	0.2193499712
352	0.2193315528
353	0.2193043007
354	0.2192906131
