iter	Passed	Remaining
0	13	13559
1	22	11312
2	30	10012
3	37	9334
4	44	8947
5	52	8707
6	59	8456
7	66	8291
8	74	8148
9	81	8046
10	88	7954
11	96	7927
12	103	7854
13	110	7809
14	118	7754
15	125	7710
16	132	7659
17	139	7622
18	147	7600
19	154	7568
20	161	7540
21	168	7509
22	176	7479
23	183	7449
24	190	7420
25	197	7404
26	205	7387
27	212	7385
28	220	7370
29	227	7367
30	235	7362
31	243	7358
32	250	7350
33	258	7330
34	265	7320
35	272	7306
36	279	7285
37	287	7271
38	294	7256
39	302	7251
40	309	7246
41	317	7235
42	324	7225
43	331	7198
44	337	7170
45	344	7153
46	352	7139
47	358	7119
48	365	7099
49	372	7078
50	379	7058
51	386	7039
52	393	7024
53	400	7009
54	407	7004
55	415	7001
56	422	6990
57	429	6974
58	436	6959
59	443	6944
60	450	6927
61	457	6916
62	464	6909
63	471	6890
64	478	6876
65	485	6865
66	491	6851
67	498	6834
68	505	6826
69	512	6815
70	519	6801
71	527	6797
72	534	6781
73	540	6766
74	547	6754
75	554	6740
76	561	6727
77	568	6716
78	574	6703
79	582	6697
80	589	6686
81	596	6672
82	603	6666
83	610	6655
84	617	6647
85	624	6636
86	631	6625
87	638	6612
88	645	6604
89	652	6595
90	659	6585
91	666	6576
92	673	6567
93	680	6556
94	687	6550
95	694	6541
96	701	6534
97	709	6528
98	716	6518
99	723	6509
100	730	6500
101	737	6494
102	745	6488
103	752	6480
104	759	6473
105	766	6464
106	773	6451
107	780	6446
108	787	6437
109	794	6427
110	801	6419
111	808	6411
112	815	6402
113	822	6392
114	829	6382
115	836	6372
116	843	6365
117	850	6355
118	857	6346
119	864	6339
120	871	6329
121	878	6318
122	884	6309
123	891	6299
124	898	6288
125	905	6282
126	912	6273
127	919	6262
128	926	6254
129	933	6247
130	940	6238
131	947	6230
132	954	6220
133	960	6210
134	967	6200
135	974	6192
136	981	6183
137	988	6175
138	995	6167
139	1002	6159
140	1009	6153
141	1017	6145
142	1024	6138
143	1031	6129
144	1038	6121
145	1045	6113
146	1051	6104
147	1058	6095
148	1066	6090
149	1073	6082
150	1080	6076
151	1087	6068
152	1094	6061
153	1101	6052
154	1108	6045
155	1115	6037
156	1122	6028
157	1129	6020
158	1136	6010
159	1143	6002
160	1150	5993
161	1156	5984
162	1163	5975
163	1170	5968
164	1177	5960
165	1184	5951
166	1191	5945
167	1198	5937
168	1206	5930
169	1214	5927
170	1221	5919
171	1228	5913
172	1235	5905
173	1242	5898
174	1250	5895
175	1258	5890
176	1265	5883
177	1273	5878
178	1280	5874
179	1288	5869
180	1295	5863
